# _tick,_time,train_seconds,step,mean_episode_return,mean_episode_step,total_loss,pg_loss,baseline_loss,entropy_loss,learner_queue_size
175,1640172084.4056208,425.4,458240,1160.5496826171875,529.8472900390625,93.44951629638672,82.55603790283203,15.38306999206543,-4.489591598510742,0
176,1640172086.5068977,425.4,460800,216.9628143310547,597.7183837890625,55.23625564575195,45.71955871582031,14.007326126098633,-4.490625858306885,2
177,1640172088.9114451,430.4,463360,255.4882049560547,619.8117065429688,-8.107393264770508,-24.276992797851562,20.59207534790039,-4.422475337982178,3
178,1640172091.5098503,430.4,465920,258.3064270019531,663.0421752929688,184.75244140625,170.60678100585938,18.756027221679688,-4.610365390777588,2
179,1640172093.7673123,435.4,468480,299.37017822265625,609.0980834960938,-37.23454666137695,-46.612186431884766,13.779380798339844,-4.401742458343506,3
180,1640172095.9885204,435.4,471040,74.16860961914062,625.4093627929688,232.97296142578125,211.63832092285156,25.751392364501953,-4.416754245758057,2
181,1640172098.3351293,440.4,473600,299.4196472167969,841.5015869140625,-67.5848617553711,-81.68373107910156,18.67632293701172,-4.577450275421143,0
182,1640172100.8100038,440.4,476160,112.43694305419922,698.5245971679688,176.42063903808594,163.53614807128906,17.54420280456543,-4.659707546234131,1
183,1640172102.9274783,445.4,478720,291.46063232421875,820.73828125,-93.91154479980469,-103.69618225097656,14.120582580566406,-4.335946559906006,0
184,1640172106.8648126,445.4,483840,569.5655517578125,934.4527587890625,40.45767593383789,24.55613136291504,20.380878448486328,-4.479334831237793,2
185,1640172109.0020213,450.4,486400,617.3800048828125,911.8910522460938,130.9001007080078,113.0863265991211,22.253751754760742,-4.439971923828125,4
186,1640172111.4700341,450.4,488960,43.210323333740234,966.8890991210938,-88.77507781982422,-107.72281646728516,23.241548538208008,-4.293811321258545,2
187,1640172114.0141182,455.4,491520,376.4107360839844,893.7960815429688,71.74456024169922,55.15180587768555,21.059738159179688,-4.466987609863281,1
188,1640172116.4075592,455.4,494080,145.77215576171875,875.404296875,58.02416229248047,29.768905639648438,32.66117858886719,-4.405921459197998,0
189,1640172118.840862,460.4,496640,891.380126953125,820.4379272460938,-156.36575317382812,-195.39541625976562,43.376319885253906,-4.346655368804932,1
190,1640172121.3470294,460.4,499200,52.76300048828125,979.9437866210938,143.58583068847656,122.94805908203125,25.043058395385742,-4.405288219451904,0
191,1640172123.6030736,465.4,501760,921.30908203125,838.255859375,-234.78733825683594,-254.47085571289062,24.11011505126953,-4.4265971183776855,0
192,1640172125.6877809,465.4,504320,598.3214111328125,778.451171875,99.1750717163086,82.68887329101562,20.965490341186523,-4.479297161102295,0
193,1640172128.149231,470.4,506880,828.282958984375,823.0554809570312,-17.42491912841797,-67.04671478271484,54.040470123291016,-4.418673992156982,2
194,1640172130.2500324,470.4,509440,594.4166870117188,828.3663940429688,-12.770498275756836,-21.616016387939453,13.361194610595703,-4.515676975250244,0
195,1640172132.6337755,475.5,512000,499.95550537109375,837.6456909179688,-156.95069885253906,-169.30462646484375,16.59717559814453,-4.243238925933838,3
196,1640172134.8811505,475.5,514560,713.9005737304688,809.3875122070312,22.456403732299805,13.262153625488281,13.58951473236084,-4.395266056060791,3
197,1640172137.423574,475.5,517120,507.4591979980469,845.95703125,30.14241600036621,22.20941925048828,12.271760940551758,-4.338761806488037,2
198,1640172139.702839,480.5,519680,324.32159423828125,819.2918090820312,-24.420291900634766,-47.141178131103516,26.977636337280273,-4.256749153137207,1
